SHT12H,EGLL,EGNT,A319,09:50,,520,,,
QFA2,EGLL,YPDN,B789,09:50,,330,,,
SHT8U,EGLL,EGPH,A320,09:45,,523,,,
BAW728,EGLL,LSGG,A20N,09:45,,521,,,
BAW406,EGLL,HECA,A21N,09:45,,507,,,
CCA568,EGLL,ZBAA,A332,09:45,,211,,,
BAW962H,EGLL,EDDH,A319,09:40,,567,,,
BAW207,EGLL,KMIA,B77W,09:40,,533,,,
QTR010,EGLL,OTHH,B77W,09:35,,564,,,
BAW2574,EGLL,LIMF,A319,09:35,,502,,,
AAL101,EGLL,KJFK,B77W,09:30,,547,,,
VIR165,EGLL,MKJS,B789,09:30,,325,,,
GFA002,EGLL,OBBI,B789,09:30,,241,,,
DLH6PP,EGLL,EDDF,A20N,09:30,,217,,,
BAW139,EGLL,VABB,A35K,09:25,,554,,,
BAW26E,EGLL,KIAH,B789,09:25,,543,,,
SHT8R,EGLL,EGPH,A20N,09:25,,508,,,
BAW253M,EGLL,MYNN,B772,09:20,,546,,,
BAW938,EGLL,EDDL,A319,09:20,,525,,,
BCS2215,EGLL,EDDP,B752,09:15,,614,,,
BAW712T,EGLL,LSZH,A21N,09:15,,555,,,
BAW676,EGLL,LTFM,A320,09:15,,505,,,
BLA1332,EGLL,LROP,B38M,09:15,,218R,,,
VIR3N,EGLL,KJFK,A35K,09:10,,316,,,
FIN7132,EGLL,EFHK,A321,09:10,,309,,,
UAE7CN,EGLL,OMDB,A388,09:10,,307,,,
VIR197,EGLL,TBPB,A333,09:10,,305,,,
SIA305,EGLL,WSSS,B77W,09:10,,238,,,
AUA4ML,EGLL,LOWW,A320,09:05,,225,,,
AFR44XZ,EGLL,LFPG,A320,09:00,,311,,,
SHT1468,EGLL,EGPE,A319,08:55,,522,,,
BAW15PZ,EGLL,LIPZ,A320,08:55,,513,,,
BAW814,EGLL,EKCH,A320,08:55,,501,,,
SWR33U,EGLL,LSGG,BCS3,08:55,,218L,,,
BAW2612,EGLL,LIRN,A320,08:50,,568,,,
BAW554R,EGLL,LIRF,A20N,08:50,,509,,,
SWR38W,EGLL,LSZH,A321,08:50,,226,,,
EIN15M,EGLL,EIDW,A21N,08:50,,221R,,,
BAW165,EGLL,LLBG,B772,08:45,,534,,,
BAW392R,EGLL,EBBR,A319,08:45,,502,,,
AIC148,EGLL,VOHS,B788,08:45,,243,,,
LZB852,EGLL,LBSF,A319,08:45,,224,,,
BAW726P,EGLL,LSGG,A320,08:40,,523,,,
KLM1002,EGLL,EHAM,B738,08:40,,303L,,,
BAW2690,EGLL,LOWI,A320,08:35,,535,,,
BAW540,EGLL,LIPE,A320,08:35,,357R,,,
SHT2N,EGLL,EGCC,A320,08:30,,541,,,
BAW992G,EGLL,EDDB,A320,08:30,,520,,,
DLH8HH,EGLL,EDDF,A20N,08:30,,217,,,
BAW830D,EGLL,EIDW,A21N,08:25,,515,,,
BAW846W,EGLL,EPWA,A320,08:20,,536,,,
BAW880,EGLL,UUDD,A21N,08:20,,517,,,
BAW430,EGLL,EHAM,A319,08:15,,576,,,
BAW342N,EGLL,LFMN,A320,08:15,,575,,,
SHT18LA,EGLL,EGPD,A21N,08:15,,519,,,
BAW764,EGLL,LOWI,A320,08:15,,512,,,
TAP135F,EGLL,LPPT,A20N,08:15,,216,,,
QTR47H,EGLL,OTHH,A388,08:10,,565,,,
BAW894,EGLL,BIKF,A320,08:10,,545L,,,
BAW2546,EGLL,DAAG,B772,08:10,,336,,,
ETD12,EGLL,OMAA,B78X,08:00,,327,,,
VIR505,EGLL,EBBR,B789,08:00,,313,,,
BAW12P,EGLL,EPKK,A320,08:00,,303R,,,
BCS6741,EGLL,EBBR,A306,07:55,,615,,,
BAW2572,EGLL,LIMF,A319,07:55,,508,,,
BAW790,EGLL,ESGG,A320,07:50,,566,,,
BAW2714,EGLL,LEMG,A320,07:45,,590,,,
SHT2L,EGLL,EGCC,A320,07:45,,511,,,
